T12,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,2005,Current health expenditure (% of GDP),9.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
4,Afghanistan,2010,Current health expenditure (% of GDP),8.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
4,Afghanistan,2017,Current health expenditure (% of GDP),12.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
4,Afghanistan,2018,Current health expenditure (% of GDP),14.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
4,Afghanistan,2019,Current health expenditure (% of GDP),13.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
4,Afghanistan,2005,Domestic general government health expenditure (% of total government expenditure),3.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
4,Afghanistan,2010,Domestic general government health expenditure (% of total government expenditure),2.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
4,Afghanistan,2017,Domestic general government health expenditure (% of total government expenditure),2.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
4,Afghanistan,2018,Domestic general government health expenditure (% of total government expenditure),1.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
4,Afghanistan,2019,Domestic general government health expenditure (% of total government expenditure),3.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
8,Albania,2000,Current health expenditure (% of GDP),7.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
8,Albania,2005,Current health expenditure (% of GDP),6.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
8,Albania,2010,Current health expenditure (% of GDP),4.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
8,Albania,2017,Current health expenditure (% of GDP),5.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
8,Albania,2018,Current health expenditure (% of GDP),5.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
8,Albania,2000,Domestic general government health expenditure (% of total government expenditure),8.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
8,Albania,2005,Domestic general government health expenditure (% of total government expenditure),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
8,Albania,2010,Domestic general government health expenditure (% of total government expenditure),8.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
8,Albania,2017,Domestic general government health expenditure (% of total government expenditure),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
8,Albania,2018,Domestic general government health expenditure (% of total government expenditure),9.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
12,Algeria,2000,Current health expenditure (% of GDP),3.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
