T28,Water supply and sanitation services,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, urban (Proportion of population with access)",84.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, rural (Proportion of population with access)",46.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, total (Proportion of population with access)",65.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",51.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",27.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, total (Proportion of population with access)",39.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, urban (Proportion of population with access)",85.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, rural (Proportion of population with access)",52.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, total (Proportion of population with access)",70.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
